row_count,temperature,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task,selected_temperature
20,0.25,0.122125,1.129895,1.0,1.0,0.900783,0.900782,0.099217,0.896497,0.103503,1.0,phasewrap_multiscale_adapter,3707,aggregation,0.25
20,0.25,0.14716,1.158539,1.0,1.0,0.888886,0.888885,0.111114,0.888886,0.111114,1.0,phasewrap_multiscale_adapter,3719,passkey_exact,0.25
20,0.25,0.032485,1.033018,1.0,1.0,0.971746,0.971746,0.028254,0.971746,0.028254,1.0,phasewrap_multiscale_adapter,3719,multi_needle,0.25
20,0.25,0.122129,1.1299,1.0,1.0,0.901043,0.901042,0.098957,0.896839,0.103161,1.0,phasewrap_multiscale_adapter,3719,aggregation,0.25
20,0.25,0.130149,1.138998,1.0,1.0,0.898828,0.898827,0.101172,0.898828,0.101172,1.0,phasewrap_multiscale_adapter,3727,passkey_exact,0.25
20,0.25,0.031826,1.032337,1.0,1.0,0.972122,0.972122,0.027878,0.972122,0.027878,1.0,phasewrap_multiscale_adapter,3727,multi_needle,0.25
20,0.25,0.112309,1.118858,1.0,1.0,0.907551,0.90755,0.092449,0.903482,0.096518,1.0,phasewrap_multiscale_adapter,3727,aggregation,0.25
20,0.25,0.174198,1.190291,1.0,1.0,0.874293,0.874293,0.125707,0.874293,0.125707,1.0,phasewrap_multiscale_adapter,3733,passkey_exact,0.25
20,0.25,0.034181,1.034772,1.0,1.0,0.97057,0.97057,0.02943,0.97057,0.02943,1.0,phasewrap_multiscale_adapter,3733,multi_needle,0.25
20,0.25,0.138282,1.148299,1.0,1.0,0.890536,0.890535,0.109464,0.88615,0.11385,1.0,phasewrap_multiscale_adapter,3733,aggregation,0.25
20,0.25,0.138428,1.148467,1.0,1.0,0.894067,0.894066,0.105933,0.894067,0.105933,1.0,phasewrap_multiscale_adapter,3739,passkey_exact,0.25
20,0.25,0.033527,1.034096,1.0,1.0,0.970917,0.970917,0.029083,0.970917,0.029083,1.0,phasewrap_multiscale_adapter,3739,multi_needle,0.25
20,0.25,0.116607,1.123678,1.0,1.0,0.904508,0.904507,0.095492,0.900639,0.099361,1.0,phasewrap_multiscale_adapter,3739,aggregation,0.25
