task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,routing_position_scale,routing_support_scale,routing_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
tiny_text_fact_qa,307,rope_relative,rope,12,6,12,7,1.0,2.430094,4.817847,6.989082,2.430094,4.817847,6.989082,0.807779,2.242922,0.833333,0.902778,0.547657,0.548757,0.284577,0.409028,1.505354,1.0,1.0,0.665278,0.665278,0.334722,0.620816,1.860445,0.916667,0.958333,0.580478,0.580722,0.354408
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.554971,5.063348,6.164095,-1.554971,5.063348,6.164095,0.124467,1.132544,0.916667,0.958333,0.908499,0.914254,0.013757,0.972809,2.645364,0.333333,0.666667,0.485593,0.824234,0.49794,1.533564,4.634665,0.083333,0.541667,0.257237,0.689057,0.608206
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.554971,5.063348,6.164095,-1.554971,5.063348,6.164095,3.104651,22.301436,0.166667,0.310733,0.20163,0.411012,0.244345,5.524994,250.884767,0.0,0.225866,0.013417,0.747522,0.747522,4.042581,56.973179,0.166667,0.281486,0.159611,0.566068,0.399401
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,-1.554971,5.063348,6.164095,-1.554971,5.063348,6.164095,1.153131,3.168096,0.75,0.776425,0.452387,0.470888,0.341571,0.647326,1.910426,1.0,1.0,0.525212,0.525212,0.474788,1.05824,2.881296,0.916667,0.923077,0.398991,0.403473,0.527709
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.543318,5.092752,5.832464,-1.543318,5.092752,5.832464,0.12445,1.132525,0.916667,0.958333,0.908583,0.914109,0.01316,0.971021,2.640638,0.333333,0.666667,0.48603,0.824281,0.497933,1.529906,4.617743,0.083333,0.541667,0.258837,0.689254,0.607597
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.543318,5.092752,5.832464,-1.543318,5.092752,5.832464,3.187606,24.230341,0.166667,0.302074,0.198522,0.404891,0.238225,5.482728,240.501922,0.0,0.227381,0.012878,0.712509,0.712509,4.079556,59.119244,0.166667,0.279587,0.156398,0.559271,0.392604
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.543318,5.092752,5.832464,-1.543318,5.092752,5.832464,1.190736,3.289502,0.75,0.775259,0.440851,0.459429,0.351278,0.673167,1.960436,1.0,1.0,0.511875,0.511875,0.488125,1.090794,2.976638,0.916667,0.923077,0.387875,0.391761,0.537813
phase_cued_retrieval,311,no_position,no_position,12,6,12,7,1.0,0.0,5.160818,4.517186,0.0,5.160818,4.517186,0.271197,1.311533,0.833333,0.916667,0.841316,0.902973,0.142824,1.460275,4.307142,0.333333,0.666667,0.377941,0.805272,0.566216,2.273277,9.711172,0.083333,0.541667,0.130355,0.758226,0.722895
exact_offset_passkey,311,no_position,no_position,12,6,12,7,1.0,0.0,5.160818,4.517186,0.0,5.160818,4.517186,2.199454,9.020091,0.416667,0.487185,0.426142,0.593505,0.19566,3.767943,43.290914,0.166667,0.28691,0.133589,0.329522,0.276386,4.16875,64.634596,0.25,0.28605,0.192786,0.48846,0.33227
tiny_text_fact_qa,311,no_position,no_position,12,6,12,7,1.0,0.0,5.160818,4.517186,0.0,5.160818,4.517186,0.333762,1.396211,1.0,1.0,0.721746,0.721746,0.278254,0.407776,1.50347,1.0,1.0,0.668615,0.668615,0.331385,0.59493,1.812903,1.0,1.0,0.560464,0.560464,0.439536
