row_count,loss,perplexity,generator_loss,generator_perplexity,top1_accuracy,mrr,generator_top1_accuracy,generator_mrr,mean_target_value_probability,mean_target_attention_probability,mean_generator_target_probability,mean_copy_gate,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,mean_generator_first_relevant_value_rank,method,model_seed,task
20,0.349603,1.418505,4.034866,56.535349,0.7,0.85,0.4,0.42566,0.774026,0.785739,0.350561,0.97225,0.225974,0.819537,0.14106,1.3,67.25,sinusoidal,4349,aggregation
20,0.083997,1.087626,6.133661,461.121335,1.0,1.0,0.35,0.355845,0.929293,0.939979,0.324687,0.982307,0.070707,0.929293,0.070707,1.0,110.0,phasewrap_distance_adapter,4307,passkey_exact
20,0.176451,1.192977,7.087123,1196.460711,0.9,0.95,0.2,0.204959,0.882957,0.899366,0.196084,0.981924,0.117043,0.924097,0.077443,1.1,141.15,phasewrap_distance_adapter,4307,multi_needle
20,0.047969,1.049138,3.439489,31.171024,1.0,1.0,0.4,0.430795,0.956708,0.976164,0.393502,0.959983,0.043292,0.950441,0.049559,1.0,73.1,phasewrap_distance_adapter,4307,aggregation
20,0.082764,1.086285,6.22644,505.951309,1.0,1.0,0.35,0.354497,0.930819,0.940765,0.314245,0.985487,0.069181,0.930819,0.069181,1.0,102.1,phasewrap_distance_adapter,4319,passkey_exact
20,0.156125,1.168973,7.048658,1151.313135,0.9,0.95,0.2,0.205334,0.891179,0.909227,0.190283,0.980202,0.108821,0.923145,0.074046,1.1,128.8,phasewrap_distance_adapter,4319,multi_needle
20,0.041359,1.042227,3.380415,29.382974,1.0,1.0,0.4,0.431381,0.962768,0.975966,0.409273,0.981988,0.037232,0.956946,0.043054,1.0,67.5,phasewrap_distance_adapter,4319,aggregation
20,0.08391,1.087531,6.21707,501.232617,1.0,1.0,0.35,0.355665,0.929525,0.942148,0.329783,0.966631,0.070475,0.929525,0.070475,1.0,99.5,phasewrap_distance_adapter,4327,passkey_exact
20,0.144695,1.155687,7.017178,1115.63343,0.9,0.95,0.2,0.205512,0.89276,0.915963,0.197226,0.97519,0.10724,0.913963,0.105488,1.1,128.2,phasewrap_distance_adapter,4327,multi_needle
20,0.041729,1.042612,3.062767,21.386645,1.0,1.0,0.45,0.461544,0.961492,0.975804,0.440111,0.959076,0.038508,0.955366,0.044634,1.0,63.8,phasewrap_distance_adapter,4327,aggregation
