example_id,seed,task,sequence_length,reference_delta,target_deltas,target_rule,phasewrap_rope_8_12_first_relevant_rank,phasewrap_rope_8_12_target_probability_mass,rope_relative_first_relevant_rank,rope_relative_target_probability_mass,alibi_first_relevant_rank,alibi_target_probability_mass,sinusoidal_first_relevant_rank,sinusoidal_target_probability_mass,no_position_first_relevant_rank,no_position_target_probability_mass
aggregation_seed431_L256_000,431,aggregation,256,118,118;142,two explicit offsets selected by the aggregation packet generator,10,0.02766092,1,0.17644314,4,0.14453726,1,0.19563803,8,0.1370109
passkey_exact_seed431_L256_001,431,passkey_exact,256,236,236,exact passkey offset chosen by RNG and exposed as the query offset,6,0.03078819,1,0.14396488,11,0.05559419,1,0.17395832,1,0.08617112
multi_needle_seed431_L256_001,431,multi_needle,256,49,49,third same-token occurrence in increasing delta order,5,0.0365529,1,0.12640482,3,0.09628099,1,0.13492856,10,0.07935036
aggregation_seed431_L256_001,431,aggregation,256,135,135;147,two explicit offsets selected by the aggregation packet generator,9,0.02998719,1,0.19837889,10,0.11659145,1,0.22594366,4,0.1370109
passkey_exact_seed431_L256_002,431,passkey_exact,256,145,145,exact passkey offset chosen by RNG and exposed as the query offset,5,0.0279106,1,0.13721191,9,0.06557391,1,0.15925759,3,0.08617112
multi_needle_seed431_L256_002,431,multi_needle,256,89,89,third same-token occurrence in increasing delta order,6,0.02831426,1,0.12572209,3,0.09216363,1,0.14967013,10,0.07935036
aggregation_seed431_L256_002,431,aggregation,256,152,152;179,two explicit offsets selected by the aggregation packet generator,4,0.12809634,1,0.17955248,8,0.11655874,1,0.198125,5,0.1370109
passkey_exact_seed431_L256_003,431,passkey_exact,256,119,119,exact passkey offset chosen by RNG and exposed as the query offset,8,0.03010241,1,0.14301914,8,0.07514124,1,0.16914152,4,0.08617112
multi_needle_seed431_L256_003,431,multi_needle,256,91,91,third same-token occurrence in increasing delta order,7,0.02793498,1,0.12099003,3,0.08961316,1,0.13698141,10,0.07935036
aggregation_seed431_L256_003,431,aggregation,256,240,240;252,two explicit offsets selected by the aggregation packet generator,8,0.04077547,1,0.20230271,13,0.08638986,1,0.221141,1,0.1370109
passkey_exact_seed431_L512_000,431,passkey_exact,512,461,461,exact passkey offset chosen by RNG and exposed as the query offset,8,0.02048593,1,0.09500064,17,0.03677064,1,0.11099848,1,0.05487118
multi_needle_seed431_L512_000,431,multi_needle,512,38,38,third same-token occurrence in increasing delta order,10,0.02212522,1,0.08813537,3,0.06888007,1,0.10742172,16,0.05202366
aggregation_seed431_L512_000,431,aggregation,512,306,306;342,two explicit offsets selected by the aggregation packet generator,11,0.02850237,1,0.13803835,14,0.07784983,1,0.1532097,4,0.09891419
