row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,4.280526,72.278461,0.2,0.255741,0.147245,0.852755,0.265052,0.162045,74.25,phasewrap_distance_adapter,3847,aggregation
20,5.524925,250.867564,0.15,0.221693,0.129077,0.870923,0.42904,0.279041,98.5,phasewrap_multiscale_adapter,3803,passkey_exact
20,3.171303,23.838532,0.5,0.570989,0.329251,0.670749,0.444593,0.249222,56.0,phasewrap_multiscale_adapter,3803,multi_needle
20,4.084794,59.429694,0.3,0.312446,0.190975,0.809025,0.27688,0.161629,70.1,phasewrap_multiscale_adapter,3803,aggregation
20,5.383743,217.836126,0.15,0.221955,0.129476,0.870524,0.410155,0.288615,120.85,phasewrap_multiscale_adapter,3821,passkey_exact
20,3.230988,25.304633,0.55,0.591475,0.339763,0.660237,0.456372,0.257554,54.6,phasewrap_multiscale_adapter,3821,multi_needle
20,4.25603,70.529435,0.2,0.25817,0.172972,0.827028,0.287564,0.160946,90.0,phasewrap_multiscale_adapter,3821,aggregation
20,5.303272,200.993388,0.2,0.249982,0.130486,0.869514,0.386782,0.281081,111.1,phasewrap_multiscale_adapter,3823,passkey_exact
20,3.246864,25.709577,0.5,0.556528,0.323358,0.676642,0.444539,0.337708,56.8,phasewrap_multiscale_adapter,3823,multi_needle
20,4.216373,67.787195,0.25,0.283245,0.180047,0.819953,0.281906,0.159693,97.45,phasewrap_multiscale_adapter,3823,aggregation
20,5.498208,244.253871,0.15,0.222295,0.13151,0.86849,0.452977,0.302977,116.3,phasewrap_multiscale_adapter,3833,passkey_exact
20,3.263125,26.131063,0.55,0.577051,0.32918,0.67082,0.442875,0.235503,47.85,phasewrap_multiscale_adapter,3833,multi_needle
20,4.092395,59.883111,0.2,0.258458,0.184429,0.815571,0.263745,0.130267,81.0,phasewrap_multiscale_adapter,3833,aggregation
20,5.409948,223.620065,0.15,0.225011,0.128412,0.871588,0.415104,0.313592,111.15,phasewrap_multiscale_adapter,3847,passkey_exact
20,3.29011,26.845823,0.5,0.541927,0.319485,0.680515,0.429608,0.266339,57.8,phasewrap_multiscale_adapter,3847,multi_needle
20,4.306954,74.214074,0.25,0.280641,0.186146,0.813854,0.287121,0.169633,105.45,phasewrap_multiscale_adapter,3847,aggregation
