row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,0.783296,2.188674,1.0,1.0,0.471652,0.469861,0.528348,0.471652,0.528348,1.0,phasewrap_multiscale_adapter,3607,passkey_exact
20,0.56593,1.761086,1.0,1.0,0.57911,0.577536,0.42089,0.57911,0.42089,1.0,phasewrap_multiscale_adapter,3607,multi_needle
20,0.759174,2.136511,1.0,1.0,0.477753,0.475618,0.522247,0.454725,0.545275,1.0,phasewrap_multiscale_adapter,3607,aggregation
20,0.771304,2.162585,1.0,1.0,0.476368,0.474453,0.523632,0.476368,0.523632,1.0,phasewrap_multiscale_adapter,3613,passkey_exact
20,0.571644,1.771177,1.0,1.0,0.575266,0.573578,0.424734,0.575266,0.424734,1.0,phasewrap_multiscale_adapter,3613,multi_needle
20,0.739143,2.09414,1.0,1.0,0.48744,0.485221,0.51256,0.463697,0.536303,1.0,phasewrap_multiscale_adapter,3613,aggregation
20,0.783477,2.18907,1.0,1.0,0.470654,0.468713,0.529346,0.470654,0.529346,1.0,phasewrap_multiscale_adapter,3617,passkey_exact
20,0.585135,1.795233,1.0,1.0,0.568272,0.566461,0.431728,0.568272,0.431728,1.0,phasewrap_multiscale_adapter,3617,multi_needle
20,0.748561,2.113957,1.0,1.0,0.483245,0.481235,0.516755,0.458558,0.541442,1.0,phasewrap_multiscale_adapter,3617,aggregation
20,0.773346,2.167005,1.0,1.0,0.474775,0.472801,0.525225,0.474775,0.525225,1.0,phasewrap_multiscale_adapter,3623,passkey_exact
20,0.581576,1.788855,1.0,1.0,0.569637,0.56772,0.430363,0.569637,0.430363,1.0,phasewrap_multiscale_adapter,3623,multi_needle
20,0.733821,2.083024,1.0,1.0,0.490153,0.48803,0.509847,0.464479,0.535521,1.0,phasewrap_multiscale_adapter,3623,aggregation
20,0.774972,2.170532,1.0,1.0,0.475058,0.473178,0.524942,0.475058,0.524942,1.0,phasewrap_multiscale_adapter,3631,passkey_exact
20,0.569112,1.766698,1.0,1.0,0.576745,0.575131,0.423255,0.576745,0.423255,1.0,phasewrap_multiscale_adapter,3631,multi_needle
20,0.743735,2.103778,1.0,1.0,0.485166,0.483051,0.514834,0.461681,0.538319,1.0,phasewrap_multiscale_adapter,3631,aggregation
