row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,mean_generator_target_probability,mean_copy_gate,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,0.126918,1.135324,1.0,1.0,0.889503,0.969811,0.003727,0.917073,0.110497,0.889503,0.110497,1.0,phasewrap_multiscale_adapter,4201,multi_needle
20,0.136605,1.146375,0.95,0.975,0.883728,0.937864,0.008201,0.942679,0.116272,0.866909,0.093084,1.05,phasewrap_multiscale_adapter,4201,aggregation
20,0.157192,1.17022,0.95,0.975,0.876665,0.926029,0.004203,0.948617,0.123335,0.880492,0.069508,1.05,phasewrap_multiscale_adapter,4211,passkey_exact
20,0.121447,1.12913,0.95,0.975,0.898867,0.965582,0.003588,0.931061,0.101133,0.905595,0.097823,1.05,phasewrap_multiscale_adapter,4211,multi_needle
20,0.1184,1.125694,1.0,1.0,0.898116,0.940932,0.007979,0.954795,0.101884,0.879139,0.120861,1.0,phasewrap_multiscale_adapter,4211,aggregation
20,0.177324,1.194018,0.9,0.95,0.86246,0.920063,0.00415,0.939888,0.13754,0.870386,0.12591,1.1,phasewrap_multiscale_adapter,4217,passkey_exact
20,0.135707,1.145346,0.95,0.975,0.884577,0.965444,0.003695,0.91614,0.115423,0.887813,0.110776,1.05,phasewrap_multiscale_adapter,4217,multi_needle
20,0.146109,1.157322,0.95,0.975,0.875776,0.929221,0.008129,0.942832,0.124224,0.858641,0.100122,1.05,phasewrap_multiscale_adapter,4217,aggregation
20,0.172368,1.188116,0.9,0.95,0.86493,0.926276,0.004208,0.935884,0.13507,0.869585,0.123519,1.1,phasewrap_multiscale_adapter,4219,passkey_exact
20,0.132915,1.142153,1.0,1.0,0.884833,0.97077,0.003652,0.911234,0.115167,0.884833,0.115167,1.0,phasewrap_multiscale_adapter,4219,multi_needle
20,0.135382,1.144974,0.95,0.975,0.884337,0.942607,0.008101,0.938564,0.115663,0.867304,0.092018,1.05,phasewrap_multiscale_adapter,4219,aggregation
20,0.17048,1.185874,0.9,0.95,0.867599,0.922971,0.004165,0.942269,0.132401,0.875131,0.121741,1.1,phasewrap_multiscale_adapter,4229,passkey_exact
20,0.131314,1.140326,0.95,0.975,0.889501,0.966021,0.003665,0.920697,0.110499,0.894589,0.106209,1.05,phasewrap_multiscale_adapter,4229,multi_needle
20,0.133109,1.142375,0.95,0.975,0.886362,0.936741,0.008068,0.946542,0.113638,0.869172,0.090651,1.05,phasewrap_multiscale_adapter,4229,aggregation
