row_count,loss,perplexity,top1_accuracy,mrr,mean_target_value_probability,mean_target_attention_probability,target_value_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_value_rank,method,model_seed,task
20,0.022999,1.023266,1.0,1.0,0.980251,0.980251,0.019749,0.973795,0.026205,1.0,phasewrap_distance_adapter,4103,aggregation
20,0.059433,1.061235,1.0,1.0,0.950494,0.950494,0.049506,0.950494,0.049506,1.0,phasewrap_distance_adapter,4111,passkey_exact
20,0.123256,1.131174,0.9,0.95,0.917111,0.917111,0.082889,0.945172,0.082821,1.1,phasewrap_distance_adapter,4111,multi_needle
20,0.023036,1.023304,1.0,1.0,0.980202,0.980202,0.019798,0.973686,0.026314,1.0,phasewrap_distance_adapter,4111,aggregation
20,0.060706,1.062586,1.0,1.0,0.949448,0.949448,0.050552,0.949448,0.050552,1.0,phasewrap_distance_adapter,4127,passkey_exact
20,0.120646,1.128226,0.9,0.95,0.917694,0.917694,0.082306,0.943379,0.082226,1.1,phasewrap_distance_adapter,4127,multi_needle
20,0.023635,1.023916,1.0,1.0,0.979673,0.979673,0.020327,0.972919,0.027081,1.0,phasewrap_distance_adapter,4127,aggregation
20,0.060256,1.062108,1.0,1.0,0.949756,0.949756,0.050244,0.949756,0.050244,1.0,phasewrap_distance_adapter,4133,passkey_exact
20,0.12393,1.131937,0.9,0.95,0.91653,0.91653,0.08347,0.944586,0.083399,1.1,phasewrap_distance_adapter,4133,multi_needle
20,0.023417,1.023693,1.0,1.0,0.979865,0.979865,0.020135,0.973241,0.026759,1.0,phasewrap_distance_adapter,4133,aggregation
20,0.061583,1.063518,1.0,1.0,0.948851,0.948851,0.051149,0.948851,0.051149,1.0,phasewrap_distance_adapter,4139,passkey_exact
20,0.131556,1.140602,0.9,0.95,0.913417,0.913417,0.086583,0.946018,0.08652,1.1,phasewrap_distance_adapter,4139,multi_needle
20,0.023541,1.02382,1.0,1.0,0.979786,0.979786,0.020214,0.973183,0.026817,1.0,phasewrap_distance_adapter,4139,aggregation
20,0.050297,1.051583,1.0,1.0,0.959846,0.959846,0.040154,0.959846,0.040154,1.0,phasewrap_multiscale_adapter,4103,passkey_exact
20,0.032291,1.032818,1.0,1.0,0.975147,0.975147,0.024853,0.975147,0.024853,1.0,phasewrap_multiscale_adapter,4103,multi_needle
20,0.029651,1.030095,1.0,1.0,0.975249,0.975249,0.024751,0.950257,0.049743,1.0,phasewrap_multiscale_adapter,4103,aggregation
20,0.051582,1.052935,1.0,1.0,0.958899,0.958899,0.041101,0.958899,0.041101,1.0,phasewrap_multiscale_adapter,4111,passkey_exact
20,0.029427,1.029864,1.0,1.0,0.97642,0.97642,0.02358,0.97642,0.02358,1.0,phasewrap_multiscale_adapter,4111,multi_needle
20,0.031084,1.031572,1.0,1.0,0.97403,0.97403,0.02597,0.949985,0.050015,1.0,phasewrap_multiscale_adapter,4111,aggregation
20,0.052457,1.053858,1.0,1.0,0.958259,0.958259,0.041741,0.958259,0.041741,1.0,phasewrap_multiscale_adapter,4127,passkey_exact
20,0.034024,1.03461,1.0,1.0,0.974349,0.974349,0.025651,0.974349,0.025651,1.0,phasewrap_multiscale_adapter,4127,multi_needle
20,0.030316,1.030781,1.0,1.0,0.974724,0.974724,0.025276,0.95014,0.04986,1.0,phasewrap_multiscale_adapter,4127,aggregation
20,0.052684,1.054096,1.0,1.0,0.95808,0.95808,0.04192,0.95808,0.04192,1.0,phasewrap_multiscale_adapter,4133,passkey_exact
20,0.031566,1.032069,1.0,1.0,0.975223,0.975223,0.024777,0.975223,0.024777,1.0,phasewrap_multiscale_adapter,4133,multi_needle
20,0.031553,1.032056,1.0,1.0,0.973639,0.973639,0.026361,0.949064,0.050936,1.0,phasewrap_multiscale_adapter,4133,aggregation
20,0.052119,1.053501,1.0,1.0,0.958586,0.958586,0.041414,0.958586,0.041414,1.0,phasewrap_multiscale_adapter,4139,passkey_exact
20,0.030609,1.031083,1.0,1.0,0.975782,0.975782,0.024218,0.975782,0.024218,1.0,phasewrap_multiscale_adapter,4139,multi_needle
20,0.031333,1.031829,1.0,1.0,0.9739,0.9739,0.0261,0.949506,0.050494,1.0,phasewrap_multiscale_adapter,4139,aggregation
